Year,OSHPD ID,Count
2010,84001,8746
2010,90793,11226
2010,90933,26547
2010,94002,2377
2010,100005,36965
2010,100697,12263
2010,100717,237787
2010,100745,30746
2010,100797,6779
2010,100899,113486
2010,104023,17209
2010,104047,4335
2010,104062,30136
2010,104089,4875
2010,105029,10135
2010,110889,1315
2010,121002,8759
2010,121031,2923
2010,121051,6420
2010,121080,31588
2010,124004,3811
2010,130699,25183
2010,130760,24959
2010,141273,3093
2010,141338,5815
2010,150706,27548
2010,150722,76524
2010,150736,56455
2010,150737,26728
2010,150761,58878
2010,150775,24122
2010,150782,11787
2010,150788,74490
2010,150808,6451
2010,154022,18213
2010,154101,15262
2010,154147,3436
2010,154160,65
2010,160702,1530
2010,160725,34544
2010,160787,14187
2010,164029,3252
2010,171049,7421
2010,171395,7577
2010,184008,4482
2010,190017,25021
2010,190020,28721
2010,190034,116573
2010,190045,269
2010,190049,23548
2010,190052,23778
2010,190053,64630
2010,190066,26421
2010,190081,38161
2010,190110,56735
2010,190125,77568
2010,190137,21145
2010,190148,72726
2010,190150,21762
2010,190159,15852
2010,190163,31845
2010,190170,89564
2010,190176,55939
2010,190184,49608
2010,190196,25918
2010,190197,11226
2010,190198,36192
