Year,OSHPD ID,Admission_Type,Count
2009,190762,Scheduled,4427
2009,190762,Unscheduled,5257
2009,190766,Scheduled,217
2009,190766,Unscheduled,4020
2009,190782,Scheduled,2059
2009,190782,Unscheduled,7
2009,190784,Scheduled,2663
2009,190796,Scheduled,8274
2009,190796,Unscheduled,13843
2009,190796,"Infant, under 24 hrs old",2119
2009,190796,Unknown,306
2009,190812,Scheduled,5383
2009,190812,Unscheduled,11314
2009,190812,"Infant, under 24 hrs old",5103
2009,190814,Scheduled,127
2009,190814,Unscheduled,2946
2009,190818,Scheduled,2419
2009,190818,Unscheduled,4303
2009,190818,"Infant, under 24 hrs old",762
2009,190818,Unknown,1
2009,190854,Scheduled,3892
2009,190854,Unscheduled,1722
2009,190854,"Infant, under 24 hrs old",875
2009,190854,Unknown,3
2009,190857,Scheduled,191
2009,190857,Unscheduled,65
2009,190857,Unknown,1
2009,190859,Scheduled,2554
2009,190859,Unscheduled,5452
2009,190859,"Infant, under 24 hrs old",1013
2009,190878,Scheduled,2372
2009,190878,Unscheduled,16280
2009,190878,"Infant, under 24 hrs old",4039
2009,190878,Unknown,1
2009,190883,Scheduled,1043
2009,190883,Unscheduled,8444
2009,190883,"Infant, under 24 hrs old",2521
2009,190930,Scheduled,1227
2009,190930,Unscheduled,691
2009,190949,Scheduled,2412
2009,190949,Unscheduled,9294
2009,190949,"Infant, under 24 hrs old",1139
2009,191216,Scheduled,965
2009,191216,Unscheduled,874
2009,191216,Unknown,1
2009,191225,Scheduled,454
2009,191225,Unscheduled,195
2009,191227,Scheduled,1674
2009,191227,Unscheduled,21920
2009,191227,"Infant, under 24 hrs old",1110
2009,191227,Unknown,5
2009,191228,Scheduled,4690
2009,191228,Unscheduled,25224
2009,191228,"Infant, under 24 hrs old",1264
2009,191231,Scheduled,1140
2009,191231,Unscheduled,12907
2009,191231,"Infant, under 24 hrs old",888
2009,191231,Unknown,1
2009,191306,Scheduled,2240
2009,191306,Unscheduled,1393
2009,191306,Unknown,1
2009,191450,Scheduled,2216
2009,191450,Unscheduled,10033
2009,191450,"Infant, under 24 hrs old",1488
2009,191450,Unknown,4
2009,194010,Scheduled,1251
2009,194010,Unscheduled,37
2009,194219,Scheduled,3862
2009,194219,Unscheduled,3354
2009,194967,Unscheduled,102
2009,194967,"Infant, under 24 hrs old",1
2009,194981,Unscheduled,111
2009,196035,Scheduled,3712
2009,196035,Unscheduled,12021
2009,196035,"Infant, under 24 hrs old",2901
2009,196035,Unknown,1
2009,196168,Scheduled,1038
2009,196168,Unscheduled,13026
2009,196168,"Infant, under 24 hrs old",5632
2009,196403,Scheduled,734
2009,196403,Unscheduled,4785
2009,196403,"Infant, under 24 hrs old",992
2009,196404,Scheduled,311
2009,196404,Unscheduled,6
2009,201281,Scheduled,1383
2009,201281,Unscheduled,3769
2009,201281,"Infant, under 24 hrs old",1769
2009,201281,Unknown,2
2009,204019,Scheduled,1452
2009,204019,Unscheduled,10793
2009,204019,"Infant, under 24 hrs old",861
2009,204019,Unknown,3
2009,210992,Scheduled,1145
2009,210992,Unscheduled,4801
2009,210992,Unknown,2
2009,210993,Scheduled,526
2009,211006,Scheduled,2413
2009,211006,Unscheduled,7483
2009,211006,"Infant, under 24 hrs old",1554
2009,214034,Scheduled,417
2009,214034,Unscheduled,1435
2009,220733,Scheduled,42
2009,220733,Unscheduled,273
2009,230949,Scheduled,481
2009,230949,Unscheduled,953
2009,231013,Scheduled,358
2009,231013,Unscheduled,851
2009,231013,"Infant, under 24 hrs old",172
2009,231396,Scheduled,818
2009,231396,Unscheduled,3026
2009,231396,"Infant, under 24 hrs old",849
2009,240924,Scheduled,221
2009,240924,Unscheduled,1544
2009,240924,"Infant, under 24 hrs old",710
