Year,OSHPD ID,Age Groups,Count
2009,184008,19-Oct,94
2009,184008,20-29,313
2009,184008,30-39,164
2009,184008,40-49,171
2009,184008,50-59,156
2009,184008,60-69,122
2009,184008,70-79,99
2009,184008,80+,168
2009,190017,19-Oct,44
2009,190017,20-29,89
2009,190017,30-39,139
2009,190017,40-49,335
2009,190017,50-59,405
2009,190017,60-69,518
2009,190017,70-79,803
2009,190017,80+,1548
2009,190020,9-Jan,119
2009,190020,19-Oct,1592
2009,190020,20-29,621
2009,190020,30-39,565
2009,190020,40-49,567
2009,190020,50-59,385
2009,190020,60-69,132
2009,190020,70-79,31
2009,190020,80+,7
2009,190034,Under 1,6076
2009,190034,9-Jan,722
2009,190034,19-Oct,1584
2009,190034,20-29,4608
2009,190034,30-39,3069
2009,190034,40-49,2734
2009,190034,50-59,3238
2009,190034,60-69,2998
2009,190034,70-79,2589
2009,190034,80+,2366
2009,190045,20-29,1
2009,190045,30-39,1
2009,190045,40-49,3
2009,190045,50-59,6
2009,190045,60-69,6
2009,190045,70-79,9
2009,190045,80+,9
2009,190049,20-29,2
2009,190049,30-39,9
2009,190049,40-49,26
2009,190049,50-59,78
2009,190049,60-69,129
2009,190049,70-79,180
2009,190049,80+,300
2009,190052,19-Oct,2
2009,190052,20-29,10
2009,190052,30-39,5
2009,190052,40-49,24
2009,190052,50-59,69
2009,190052,60-69,136
2009,190052,70-79,219
2009,190052,80+,231
2009,190053,Under 1,3173
2009,190053,9-Jan,192
2009,190053,19-Oct,666
2009,190053,20-29,2254
2009,190053,30-39,1355
2009,190053,40-49,1100
2009,190053,50-59,1312
2009,190053,60-69,1398
2009,190053,70-79,1317
2009,190053,80+,1639
2009,190066,Under 1,1342
2009,190066,9-Jan,1
2009,190066,19-Oct,305
2009,190066,20-29,1168
2009,190066,30-39,892
2009,190066,40-49,680
2009,190066,50-59,628
2009,190066,60-69,458
2009,190066,70-79,349
2009,190066,80+,342
2009,190081,Under 1,1531
2009,190081,9-Jan,306
